,Section,Title,Num_Units,CR/NC,Typically Offered,Prerequisites,Description
0,CSC 101, Fundamentals of Computer Science I,4,0,,,"Basic principles of algorithmic problem solving and programming using methods of top-down design, stepwise refinement and procedural abstraction.  Basic control structures, data types, and input/output.  Introduction to the software development process:  design, implementation, testing and documentation.  The syntax and semantics of a modern programming language.  Credit not available for students who have taken CSC/CPE 108.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 101."
1,CSC 102, Fundamentals of Computer Science II,4,0,"F, W, SP","CSC/CPE 101 with a grade of C- or better and either MATH 141 or MATH 221 with a grade of C- or better, or consent of instructor.","Basic design, implementation, testing, and documentation of object-oriented software.  Introduction to classes, interfaces, inheritance, algorithms (sort, search, recursion), abstract data types, data structures (lists, stacks, queues), file I/O, and exceptions.  Credit not available for students who have taken CSC/CPE 108.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 102."
2,CSC 103, Fundamentals of Computer Science III,4,0,"F, W, SP","CPE/CSC 102 with a grade of C- or better or CPE/CSC 108 with a grade of C- or better, or consent of instructor.","Introduction to data structures and analysis of algorithms.  Abstract data types.  Specification and implementation of advanced data structures.  Theoretical and empirical analysis and proofs of properties of recursive and iterative algorithms.  Software performance evaluation and testing techniques.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 103."
3,CSC 105, Fundamentals of Computer Science I Supplemental Instruction,1,1,,,Facilitated study and discussion of fundamental concepts of computer science and familiarization with programming environments.  Credit/No Credit grading only.  1 laboratory.  Crosslisted as CPE/CSC 105.
4,CSC 108, Accelerated Introduction to Computer Science,4,0,TBD,"MATH 118 (or equivalent) with a grade of C- or better, significant experience in computer programming, and consent of instructor. Corequisite: CSC 141 or CSC 348.","Accelerated introduction to basic principles of algorithmic and object-oriented problem solving and programming.  Introduction to programming language concepts including control structures, data types, classes, and inheritance.  Program design principles.  Use and implementation of algorithms (searching, sorting, recursion) and data structures (lists, stacks, and queues).  Intended for students with experience in algorithmic problem solving and using basic control structures and data types in a modern programming language (CPE/CSC 101), but who are not ready for CPE/CSC 102.  Not open to students with credit in CPE/CSC 102.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 108."
5,CSC 123, Introduction to Computing,4,0,F,Basic computer literacy.,"Use of a supportive software development environment to design, develop, and test applications in a selected topic domain that demonstrates the potential of careers in computing.  An introduction to computing and to the selected topic domain.  The Schedule of Classes will list topic selected.  No programming experience required.  Not for students with credit in CPE/CSC 103.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 123."
6,CSC 171, Introduction to Interactive Entertainment,4,0,W,,"Use of click-and-drag software application to create an entertaining or informative, socially responsible application, such as a game. Team collaboration to design, develop, and test applications. Focus on design, teamwork, and using an iterative development process. An enjoyable introduction to both computer science and interactive entertainment. No computer science experience required. 3 lectures, 1 laboratory."
7,CSC 200, Special Problems for Undergraduates,1,0,TBD,Consent of instructor.,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter."
8,CSC 209, Problem Solving with Computers,1,1,,"CSC/CPE 101 or CSC/CPE 108 with a grade of C- or better, or consent of instructor.","Reinforcement of computer science fundamentals.  Review of important algorithms, language features, design, syntax, and testing techniques.  Repeated application of techniques to solve problems in a constrained amount of time.  Primarily intended to support students preparing for the Association for Computing Machinery's International Collegiate Programming Contest.  Credit/No Credit grading only.  Total credit limited to 15 units.  1 laboratory.  Crosslisted as CPE/CSC 209."
9,CSC 225, Introduction to Computer Organization,4,0,"F, W, SP",CSC/CPE 102.,"Introduction to computer systems.  Simple instruction set architecture and the computer hardware needed to implement that architecture.  Machine and assembly language programming.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 225."
10,CSC 231, Programming for Engineering Students,2,0,"F, W, SP",MATH 142; PHYS 121 or PHYS 131 or PHYS 141.,"Programming techniques and procedures with applications to engineering problems.  Introduction to numerical methods and simulation.  Credit not allowed for CSC, Software Engineering or CPE majors.  2 activities."
11,CSC 232, Computer Programming for Scientists and Engineers,3,0,TBD,MATH 118 or equivalent.,"Computer programming, with an emphasis on procedural programming, taught using a language hosted by applications commonly used in science and engineering.  Credit not allowed for CSC, CPE or Software Engineering majors.  2 lectures, 1 activity."
12,CSC 234, C and Unix,3,0,TBD,MATH 142.,"The C programming language and the UNIX programming environment.  Operators, standard I/O functions, strings, pointers and arrays, data types and storage classes.  Unix shell programming and basic I/O system calls.  Credit not allowed for CSC, Software Engineering or CPE majors.  3 lectures."
13,CSC 235, Fundamentals of Computer Science for Scientists and Engineers I,4,0,TBD,"MATH 141 or MATH 161 with a grade of C- or better, or consent of instructor.","Introduction to the fundamentals of computer programming with an emphasis on mathematical, scientific and engineering applications:  principles of algorithmic problem solving and procedural programming using a modern programming language, data types, elementary data structures, input/output and control structures.  Not a substitute for CSC/CPE 101 for CSC/CPE majors or minors.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 235."
14,CSC 236, Fundamentals of Computer Science for Scientists and Engineers II,4,0,TBD,"CSC/CPE 235 with a grade of C- or better, or consent of instructor.","Further study of computer program development with an emphasis on mathematical, scientific and engineering applications.  Introduction to more complicated data types and structures.  Practice of more complicated techniques of procedural programming.  Introduction to the principles of object-oriented programming using a modern programming language.  Detailed discussion of lists and classic list algorithms, algorithm analysis, multidimensional arrays, records, dynamic data structures, file input/output, classes.  Not a substitute for CSC/CPE 102 for CSC/CPE majors or minors.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 236."
15,CSC 290, Selected Topics,1,0,TBD,Open to undergraduate students and consent of instructor.,Directed group study of selected topics.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 lectures.
16,CSC 300, Professional Responsibilities,4,0,"F, W, SP",CSC/CPE 357 and junior standing.,"The responsibilities of the computer science professional.  The ethics of science and the IEEE/ACM Software Engineering Code of Ethics.  Quality tradeoffs, software system safety, intellectual property, history of computing and the social implications of computers in the modern world.  Applications to ethical dilemmas in computing.  Technical presentation methods and practice.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 300."
17,CSC 301, Personal Software Process,4,0,TBD,CSC/CPE 103.,"Principles and practices for defining and applying software processes to individual software development tasks.  Quantitative methods for the measurement and analysis of software development cost and quality.  Interpretation and evaluation of process metrics for creation of improvement plans.  Adaptation of processes to individual styles.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 301."
18,CSC 302, Computers and Society,4,0,,Junior standing and completion of GE Area B.,"Social, ethical, political and technological implications and effects of computers in the modern world.  Examination of the benefits and side-effects of computer applications and automation.  Case study review and analysis.  4 lectures.  Fulfills GE Area F."
19,CSC 303, Teaching Computer Science,2,0,TBD,"CSC/CPE 103, with a grade of C- or better, or equivalent.","Practical coverage of educational techniques appropriate for tutoring in CSC/CPE undergraduate courses, including Socratic methods for tutoring of technical topics, design of test questions and grading rubrics, and lecture presentation.  Intended for CSC/CPE/SE students interested in tutoring, grading, or a career in teaching computer science.  1 lecture, 1 laboratory.  Not available for technical elective credit."
20,CSC 305, Individual Software Design and Development,4,0,F,CSC/CPE 357.,"Practical software development skills needed for construction of mid-sized production-quality software modules, using the CSC upper division programming language.  Topics include inheritance, exceptions, and memory and disk-based dynamic data structures.  Students must complete an individual programming project of mid-level complexity.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 305."
21,CSC 307, Introduction to Software Engineering,4,0,"F, SP",CPE/CSC 357; and CSC 141 or CSC 348.,"Requirements, specification, design, implementation, testing and verification of large software systems.  Study and use of the software process and software engineering methodologies; working in project teams.  Not open to students with credit in CPE/CSC 308.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 307."
22,CSC 308, Software Engineering I,4,0,"F, W",CPE/CSC 357; and CSC 141 or CSC 348.,"Principles for engineering requirements analysis and design of large complex software systems.  Software process models.  Methods of project planning, tracking, documentation, communication, and quality assurance.  Analysis of engineering tradeoffs.  Group laboratory project.  Technical oral and written presentations.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 308."
23,CSC 309, Software Engineering II,4,0,"W, SP",CSC/CPE 308.,"Continuation of the software lifecycle.  Methods and tools for the implementation, integration, testing and maintenance of large software systems.  Software development and test environments.  Software quality assurance.  Group laboratory project.  Technical presentation methods and practice.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 309."
24,CSC 310, Computers for Poets,4,0,,Junior standing and completion of GE Area B.,"How computers and computer devices work.  Introduction to software systems and applications.  How computers connect with various media including images, speech and data.  How information is encoded and transmitted across networks.  Relationship between the computer and human information processing.  4 lectures.  Crosslisted as CSC 310/HNRS 311.  Fulfills GE Area F."
25,CSC 311, Computational Art,4,0,,Junior standing and completion of GE Area B.,"Interdisciplinary creation of static and animated computational art using algorithms.  General design principles in a digital setting, including color, shape, composition, perspective, principles of animation.  Development of computational tools such as variables, iteration, logic, functions.  Creative expression via coding and creative coding.  3 lectures, 1 laboratory.  Fulfills GE Area F."
26,CSC 315, Computer Architecture,4,0,"F, W, SP","CSC/CPE 103, and CPE/EE 229 or CSC 225 or CPE/EE 233.","In-depth study of the instruction set architecture and hardware design of a specific CPU.  Introduction to pipelines, input/output and multi-processors.  Computer abstractions and performance measurement.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 315."
27,CSC 320, Practical Computer Security for Everyone,4,0,,Junior standing and completion of GE Area B.,"Exploration of practical computer security in everyday life for non-majors.  Covering the principles, technologies and tools used to secure the Internet and keep ourselves 'digitally' secure, including:  privacy and anonymity, web and data security, cryptography, malware, authentication and access control.  3 lectures, 1 laboratory.  Fulfills GE Area F."
28,CSC 321, Introduction to Computer Security,4,0,TBD,CPE/CSC 357.,"Survey of topics in computer system and network security, including protection, access control, distributed access control, operating system security, applied cryptography, network security, firewalls, secure coding practices, and case studies from real-world systems.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 321.  Formerly CPE/CSC 456."
29,CSC 323, Cryptography Engineering,4,0,F,CPE/CSC 357.,"An introduction to the theory and practice of building secure, cryptographic systems.  Core cryptographic primitives.  Implementation, evaluation and subversion of widely deployed cryptographic products and protocols.  3 lectures, 1 laboratory."
30,CSC 341, Numerical Engineering Analysis,4,0,,"MATH 244 and one of the following courses: CSC 101, CSC 231, CSC 232, CSC 234, CSC 235, or consent of instructor.","An intensive survey of numerical analysis techniques used for solving engineering problems.  Topics include solution of nonlinear equations, solution of linear systems, interpolation, numerical quadrature, ordinary differential equations and boundary value problems.  Not open to students who have completed CSC 342.  4 lectures.  Fulfills GE B6."
31,CSC 344, Music Programming,4,0,TBD,CPE/CSC 357; and CSC 141 or CSC 348.,"Music-producing programs.  Software synthesizers:  oscillators, coupled oscillators, wavetable synthesis.  Sound processing units/filters:  LTI, FIR, IIR, nonlinear.  Physics of sound, mathematical foundations of sound synthesis and filtering, existing sound formats (both sampled and MIDI).  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 344."
32,CSC 348, Discrete Structures,4,0,"F, W, SP","CSC/CPE 103 with a grade of C- or better, or instructor consent.","Structures of computer science:  logic, sets, relations, functions, graphs and trees.  Propositional and predicate logic.  Applications of predicate logic to preconditions, postconditions, and proof techniques.  Complexity of algorithms.  Not open to students with credit in CSC 141.  4 lectures."
33,CSC 349, Design and  Analysis of Algorithms,4,0,"F, SP","CSC 141 or CSC 348, and MATH 142; or CPE/CSC 103 and MATH 248.","Intermediate and advanced algorithms and their analysis.  Mathematical, geometrical, and graph algorithms.  NP-complete problems.  Additional topics will be chosen from pattern matching, file compression, cryptology, dynamic and linear programming, and exhaustive search.  Course may be offered in classroom-based or online format.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 349."
34,CSC 350, Computing for Interactive Arts Capstone I,2,0,W,ART 384; CSC 103; and junior standing.,"Definition and specification of a team-based creative collaboration on a digital interactive art project (e.g.  animation, video game, interactive media display, etc).  Research and techniques, project planning and project team organization, prototype creation.  1 lecture, 1 laboratory.  Crosslisted as ART/CSC 350."
35,CSC 357, Systems Programming,4,0,"F, W, SP","CSC/CPE 103 with a grade of C- or better, or consent of instructor, and CSC 225 or CPE/EE 229 or CPE/EE 233.","C programming language from a system programming perspective.  Standard C language including operators, I/O functions, and data types in the context of system functions.  Unix commands, shell scripting, file system, editors.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 357."
36,CSC 358, Computer System Administration,2,0,TBD,CSC/CPE 103 or permission of instructor.,Fundamental concepts of Unix system administration.  Use of shell scripts and utilities.  Techniques of networks and data communications.  Methods of system maintenance and accounting.  2 seminars.
37,CSC 365, Introduction to Database Systems,4,0,TBD,CSC 348 or CSC 141; or CPE/CSC 103 and MATH 248.,"Basic principles of database management systems (DBMS) and of DBMS application development.  DBMS objectives, systems architecture, database models with emphasis on Entity-Relationship and Relational models, data definition and manipulation languages, the Structured Query Language (SQL), database design, application development tools.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 365."
38,CSC 366," Database Modeling, Design and Implementation",4,0,TBD,CSC/CPE 365.,"The database modeling problem.  Database modeling levels:  external, conceptual, logical and physical.  Database models:  entity-relationship, relational, object-oriented, semantic, and object-relational.  Normal forms.  Distributed database design.  Functional analysis of database applications and transaction specification, design, and implementation.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 366."
39,CSC 369, Introduction to Distributed Computing,4,0,"F, SP","CSC 103; and one of the following: STAT 301, STAT 312, STAT 321 or STAT 350.","Introduction to distributed computing paradigms and cloud computing.  Modern distributed computing infrastructures.  Problem-solving in a distributed computing environment.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 369."
40,CSC 371, Game Design,4,0,F,CSC 103.,"In-depth study of game design including rules, player interaction, and storytelling.  Exploration of effective use of sound, art, and game controls in creating meaningful play.  Development of fully functioning and engaging games, following standard domain-specific software development processes and using physical prototyping and playtesting.  Current, industry-tested game engines.  3 lectures, 1 laboratory."
41,CSC 378, Interactive Entertainment Engineering,4,0,TBD,CPE/CSC 103.,"Project-based, software oriented, design of interactive entertainment applications.  Topics may include interactive storytelling, game physics, game AI, scripting, and development of virtual worlds using modeling and rendering tools.  Projects require significant programming.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 378."
42,CSC 400, Special Problems,1,0,TBD,Consent of instructor.,"Individual investigation, research, studies or surveys of selected problems.  Total credit limited to 4 units."
43,CSC 402, Software Requirements Engineering,4,0,F,CPE/CSC 307 or CPE/CSC 309.,"Software requirements elicitation, analysis and documentation.  Team process infrastructure and resource estimation to support appropriate levels of quality.  Software architectural design.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 402."
44,CSC 405, Software Construction,4,0,W,CPE/CSC 305 and CPE/CSC 402.,"Design and construction of sizeable software products.  Technical management of software development teams.  Software development process models, software design, documentation, quality assurance during development, software unit and integration testing; CASE tools, development environments, test tools, configuration management.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 405."
45,CSC 406, Software Deployment,4,0,SP,CPE/CSC 405.,"Deployment of a sizeable software product by a student team.  Software maintenance and deployment economic issues.  Management of deployed software:  version control, defect tracking and technical support.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 406."
46,CSC 409, Current Topics in Software Engineering,4,0,TBD,CSC/CPE 309 or CSC/CPE 307.,"Selected topics in software engineering.  Topics may include program generation, quality assurance, formal methods, software metrics, design methods, testing, or software development processes.  The Schedule of Classes will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 409."
47,CSC 410, Software Evaluation,4,0,F,"CPE/CSC 349; STAT 301, STAT 312, STAT 321 or STAT 350.","Theory and practice of evaluation of software and software systems.  Design of experiments for measuring software performance, measuring software output quality, comparing multiple implementations of the same algorithm, and evaluation of software heuristics.  Selection of appropriate software evaluation measures and criteria.  3 lectures, 1 laboratory."
48,CSC 416, Autonomous Mobile Robotics,4,0,TBD,CPE/EE 329 or CPE/EE 336 or both CSC/CPE 315 and CSC/CPE 357.,"Theory and application of concepts relevant to autonomous mobile robots.  Sensor and actuator interfacing, programming mobile robots, mobile robot configurations, software architectures and algorithms.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 416."
49,CSC 419, Applied Parallel Computing,4,0,TBD,CPE/CSC 357. Corequisite: CSC 141 or CSC 348. Recommended: CPE/CSC 315.,"Introduction to applied parallel computing paradigms:  software models, resource allocation, performance measurement, and data sharing.  Emphasis on massively parallel computation and performance improvement for a real-world application of significant scope.  3 lectures, 1 laboratory.  Crosslisted as CPE/CSC 419."
